============================================================================
DIRBE SYSTEM SPECTRAL RESPONSE
Version:  Pass 3B data release, November 1996
          Only differs from the Pass 2B (1994) release in that wavelengths
  1.165   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.174   0.99   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.183   0.99   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.192   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.202   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.211   0.98   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.220   0.96   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.230   0.94   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.240   0.93   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.249   0.94   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.259   0.94   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.269   0.94   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.279   0.93   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.289   0.93   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.299   0.94   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.309   0.97   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.319   0.98   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.330   0.96   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.340   0.93   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.350   0.88   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.361   0.86   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.372   0.84   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.382   0.86   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.393   0.89   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.404   0.94   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.415   0.96   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.426   0.76   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.437   0.52   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.448   0.29   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.460   0.17   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.471   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.483   0.03   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.494   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.506   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.518   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.529   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.541   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.553   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.566   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.578   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.590   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.603   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.615   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.628   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.640   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.653   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.666   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.679   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.692   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.705   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.719   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.732   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.746   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.759   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.773   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.787   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.801   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.815   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.829   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.843   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.858   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.872   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.887   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.902   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.917   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.932   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.947   0.00   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.962   0.00   0.02   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.977   0.00   0.04   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.993   0.00   0.06   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.008   0.00   0.11   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.024   0.00   0.29   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.040   0.00   0.53   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.056   0.00   0.71   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.072   0.00   0.94   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.088   0.00   0.96   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.104   0.00   0.96   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.121   0.00   0.95   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.137   0.00   0.94   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.154   0.00   0.93   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.171   0.00   0.92   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.188   0.00   0.92   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.205   0.00   0.91   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.222   0.00   0.93   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.239   0.00   0.95   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.257   0.00   0.96   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.274   0.00   0.98   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.292   0.00   0.99   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.310   0.00   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.328   0.00   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.346   0.00   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.365   0.00   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.383   0.00   0.94   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.402   0.00   0.67   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.420   0.00   0.27   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.439   0.00   0.12   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.458   0.00   0.04   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.478   0.00   0.02   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.497   0.00   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.517   0.00   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.536   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.556   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.576   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.596   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.616   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.637   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.657   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.678   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.699   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.720   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.741   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.763   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.784   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.806   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.828   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.850   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.872   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.895   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.917   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.940   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.963   0.00   0.00   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.986   0.00   0.00   0.02   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.010   0.00   0.00   0.07   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.033   0.00   0.00   0.21   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.057   0.00   0.00   0.47   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.081   0.00   0.00   0.71   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.105   0.00   0.00   0.82   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.129   0.00   0.00   0.85   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.154   0.00   0.00   0.87   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.178   0.00   0.00   0.88   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.203   0.00   0.00   0.88   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.228   0.00   0.00   0.86   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.253   0.00   0.00   0.86   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.279   0.00   0.00   0.85   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.304   0.00   0.00   0.86   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.330   0.00   0.00   0.88   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.356   0.00   0.00   0.90   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.382   0.00   0.00   0.91   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.409   0.00   0.00   0.92   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.435   0.00   0.00   0.91   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.462   0.00   0.00   0.91   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.489   0.00   0.00   0.92   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.516   0.00   0.00   0.93   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.544   0.00   0.00   0.94   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.572   0.00   0.00   0.96   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.599   0.00   0.00   0.97   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.628   0.00   0.00   0.98   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.656   0.00   0.00   0.98   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.685   0.00   0.00   0.97   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.713   0.00   0.00   0.96   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.742   0.00   0.00   0.95   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.772   0.00   0.00   0.94   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.801   0.00   0.00   0.95   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.831   0.00   0.00   0.95   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.861   0.00   0.00   0.96   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.891   0.00   0.00   0.98   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.921   0.00   0.00   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.952   0.00   0.00   0.98   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.983   0.00   0.00   0.85   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  4.014   0.00   0.00   0.63   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  4.045   0.00   0.00   0.35   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  4.077   0.00   0.00   0.14   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  4.109   0.00   0.00   0.06   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  4.141   0.00   0.00   0.02   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  4.173   0.00   0.00   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  4.206   0.00   0.00   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  4.238   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  4.272   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  4.305   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  4.339   0.00   0.00   0.00   0.01   0.00   0.00   0.00   0.00   0.00   0.00
  4.372   0.00   0.00   0.00   0.02   0.00   0.00   0.00   0.00   0.00   0.00
  4.407   0.00   0.00   0.00   0.03   0.00   0.00   0.00   0.00   0.00   0.00
  4.441   0.00   0.00   0.00   0.03   0.00   0.00   0.00   0.00   0.00   0.00
  4.476   0.00   0.00   0.00   0.04   0.00   0.00   0.00   0.00   0.00   0.00
  4.511   0.00   0.00   0.00   0.20   0.00   0.00   0.00   0.00   0.00   0.00
  4.546   0.00   0.00   0.00   0.37   0.00   0.00   0.00   0.00   0.00   0.00
  4.581   0.00   0.00   0.00   0.61   0.00   0.00   0.00   0.00   0.00   0.00
  4.617   0.00   0.00   0.00   0.91   0.00   0.00   0.00   0.00   0.00   0.00
  4.653   0.00   0.00   0.00   0.95   0.00   0.00   0.00   0.00   0.00   0.00
  4.690   0.00   0.00   0.00   0.97   0.00   0.00   0.00   0.00   0.00   0.00
  4.726   0.00   0.00   0.00   0.99   0.00   0.00   0.00   0.00   0.00   0.00
  4.763   0.00   0.00   0.00   1.00   0.00   0.00   0.00   0.00   0.00   0.00
  4.800   0.00   0.00   0.00   1.00   0.00   0.00   0.00   0.00   0.00   0.00
  4.838   0.00   0.00   0.00   1.00   0.00   0.00   0.00   0.00   0.00   0.00
  4.876   0.00   0.00   0.00   0.99   0.00   0.00   0.00   0.00   0.00   0.00
  4.914   0.00   0.00   0.00   0.98   0.00   0.00   0.00   0.00   0.00   0.00
  4.952   0.00   0.00   0.00   0.97   0.00   0.00   0.00   0.00   0.00   0.00
  4.991   0.00   0.00   0.00   0.95   0.00   0.00   0.00   0.00   0.00   0.00
  5.030   0.00   0.00   0.00   0.93   0.00   0.00   0.00   0.00   0.00   0.00
  5.069   0.00   0.00   0.00   0.91   0.00   0.00   0.00   0.00   0.00   0.00
  5.109   0.00   0.00   0.00   0.88   0.00   0.00   0.00   0.00   0.00   0.00
  5.149   0.00   0.00   0.00   0.85   0.00   0.00   0.00   0.00   0.00   0.00
  5.189   0.00   0.00   0.00   0.80   0.00   0.00   0.00   0.00   0.00   0.00
  5.229   0.00   0.00   0.00   0.57   0.00   0.00   0.00   0.00   0.00   0.00
  5.270   0.00   0.00   0.00   0.27   0.00   0.00   0.00   0.00   0.00   0.00
  5.311   0.00   0.00   0.00   0.04   0.00   0.00   0.00   0.00   0.00   0.00
  5.353   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  5.395   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  5.437   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  5.479   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  5.522   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  5.565   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  5.609   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  5.652   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  5.697   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  5.741   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  5.786   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  5.831   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  5.877   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  5.923   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  5.969   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  6.015   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  6.062   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  6.110   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  6.158   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  6.206   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  6.254   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  6.303   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  6.352   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  6.402   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  6.452   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  6.502   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  6.553   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  6.604   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  6.656   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  6.708   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  6.760   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  6.813   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  6.866   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  6.920   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  6.974   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  7.028   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  7.083   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  7.139   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  7.194   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  7.251   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  7.307   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  7.364   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  7.422   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  7.480   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  7.538   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  7.597   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  7.656   0.00   0.00   0.00   0.00   0.01   0.00   0.00   0.00   0.00   0.00
  7.716   0.00   0.00   0.00   0.00   0.01   0.00   0.00   0.00   0.00   0.00
  7.777   0.00   0.00   0.00   0.00   0.02   0.00   0.00   0.00   0.00   0.00
  7.837   0.00   0.00   0.00   0.00   0.03   0.00   0.00   0.00   0.00   0.00
  7.898   0.00   0.00   0.00   0.00   0.03   0.00   0.00   0.00   0.00   0.00
  7.960   0.00   0.00   0.00   0.00   0.04   0.00   0.00   0.00   0.00   0.00
  8.022   0.00   0.00   0.00   0.00   0.15   0.00   0.00   0.00   0.00   0.00
  8.085   0.00   0.00   0.00   0.00   0.21   0.00   0.00   0.00   0.00   0.00
  8.148   0.00   0.00   0.00   0.00   0.25   0.00   0.00   0.00   0.00   0.00
  8.212   0.00   0.00   0.00   0.00   0.29   0.00   0.00   0.00   0.00   0.00
  8.276   0.00   0.00   0.00   0.00   0.32   0.00   0.00   0.00   0.00   0.00
  8.341   0.00   0.00   0.00   0.00   0.35   0.00   0.00   0.00   0.00   0.00
  8.406   0.00   0.00   0.00   0.00   0.38   0.00   0.00   0.00   0.00   0.00
  8.471   0.00   0.00   0.00   0.00   0.41   0.00   0.00   0.00   0.00   0.00
  8.538   0.00   0.00   0.00   0.00   0.45   0.00   0.00   0.00   0.00   0.00
  8.604   0.00   0.00   0.00   0.00   0.50   0.00   0.00   0.00   0.00   0.00
  8.671   0.00   0.00   0.00   0.00   0.54   0.00   0.00   0.00   0.00   0.00
  8.739   0.00   0.00   0.00   0.00   0.59   0.00   0.00   0.00   0.00   0.00
  8.807   0.00   0.00   0.00   0.00   0.63   0.00   0.00   0.00   0.00   0.00
  8.876   0.00   0.00   0.00   0.00   0.68   0.00   0.00   0.00   0.00   0.00
  8.946   0.00   0.00   0.00   0.00   0.71   0.00   0.00   0.00   0.00   0.00
  9.016   0.00   0.00   0.00   0.00   0.72   0.00   0.00   0.00   0.00   0.00
  9.086   0.00   0.00   0.00   0.00   0.71   0.00   0.00   0.00   0.00   0.00
  9.157   0.00   0.00   0.00   0.00   0.71   0.00   0.00   0.00   0.00   0.00
  9.228   0.00   0.00   0.00   0.00   0.72   0.00   0.00   0.00   0.00   0.00
  9.301   0.00   0.00   0.00   0.00   0.72   0.00   0.00   0.00   0.00   0.00
  9.373   0.00   0.00   0.00   0.00   0.73   0.00   0.00   0.00   0.00   0.00
  9.446   0.00   0.00   0.00   0.00   0.73   0.00   0.00   0.00   0.00   0.00
  9.520   0.00   0.00   0.00   0.00   0.73   0.00   0.00   0.00   0.00   0.00
  9.595   0.00   0.00   0.00   0.00   0.70   0.00   0.00   0.00   0.00   0.00
  9.669   0.00   0.00   0.00   0.00   0.67   0.00   0.00   0.00   0.00   0.00
  9.745   0.00   0.00   0.00   0.00   0.65   0.00   0.00   0.00   0.00   0.00
  9.821   0.00   0.00   0.00   0.00   0.61   0.00   0.00   0.00   0.00   0.00
  9.898   0.00   0.00   0.00   0.00   0.57   0.00   0.00   0.00   0.00   0.00
  9.975   0.00   0.00   0.00   0.00   0.53   0.00   0.00   0.00   0.00   0.00
 10.053   0.00   0.00   0.00   0.00   0.53   0.00   0.00   0.00   0.00   0.00
 10.132   0.00   0.00   0.00   0.00   0.55   0.00   0.00   0.00   0.00   0.00
 10.211   0.00   0.00   0.00   0.00   0.57   0.00   0.00   0.00   0.00   0.00
 10.291   0.00   0.00   0.00   0.00   0.59   0.00   0.00   0.00   0.00   0.00
 10.371   0.00   0.00   0.00   0.00   0.61   0.00   0.00   0.00   0.00   0.00
 10.452   0.00   0.00   0.00   0.00   0.64   0.00   0.00   0.00   0.00   0.00
 10.534   0.00   0.00   0.00   0.00   0.65   0.00   0.00   0.00   0.00   0.00
 10.616   0.00   0.00   0.00   0.00   0.64   0.00   0.00   0.00   0.00   0.00
